Alanine (G),"Alcohol, ethyl (G)",Arginine (G),Ash (G),Aspartic acid (G),Beta-sitosterol (MG),Betaine (MG),Caffeine (MG),"Calcium, Ca (MG)",Campesterol (MG),"Carbohydrate, by difference (G)","Carotene, alpha (UG)","Carotene, beta (UG)",Cholesterol (MG),"Choline, total (MG)","Copper, Cu (MG)","Cryptoxanthin, beta (UG)",Cystine (G),Energy (KCAL),"Fatty acids, total monounsaturated (G)","Fatty acids, total polyunsaturated (G)","Fatty acids, total saturated (G)","Fatty acids, total trans (G)","Fatty acids, total trans-monoenoic (G)","Fatty acids, total trans-polyenoic (G)","Fiber, total dietary (G)","Fluoride, F (UG)","Folate, DFE (UG)","Folate, food (UG)","Folate, total (UG)",Folic acid (UG),Fructose (G),Galactose (G),Glucose (G),Glutamic acid (G),Glycine (G),Histidine (G),Hydroxyproline (G),"Iron, Fe (MG)",Isoleucine (G),Lactose (G),Leucine (G),Lutein + zeaxanthin (UG),Lycopene (UG),Lysine (G),MUFA 14:1 (G),MUFA 15:1 (G),MUFA 16:1 (G),MUFA 17:1 (G),MUFA 18:1 (G),MUFA 20:1 (G),MUFA 22:1 (G),MUFA 24:1 (G),"Magnesium, Mg (MG)",Maltose (G),"Manganese, Mn (MG)",Methionine (G),Niacin (MG),PUFA 18:2 (G),PUFA 18:3 (G),PUFA 18:4 (G),PUFA 20:2 (G),PUFA 20:3 (G),PUFA 20:4 (G),PUFA 20:5 (G),PUFA 21:5 (G),PUFA 22:4 (G),PUFA 22:5 (G),PUFA 22:6 (G),PUFA 2:4 (G),Pantothenic acid (MG),Phenylalanine (G),"Phosphorus, P (MG)",Phytosterols (MG),"Potassium, K (MG)",Proline (G),Protein (G),Retinol (UG),Riboflavin (MG),SFA 10:0 (G),SFA 12:0 (G),SFA 13:0 (G),SFA 14:0 (G),SFA 15:0 (G),SFA 16:0 (G),SFA 17:0 (G),SFA 18:0 (G),SFA 20:0 (G),SFA 22:0 (G),SFA 24:0 (G),SFA 4:0 (G),SFA 6:0 (G),SFA 8:0 (G),"Selenium, Se (UG)",Serine (G),"Sodium, Na (MG)",Starch (G),Stigmasterol (MG),Sucrose (G),TFA 16:1 t (G),TFA 18:1 t (G),TFA 22:1 t (G),Theobromine (MG),Thiamin (MG),Threonine (G),Total Sugars (G),Total lipid (fat) (G),Tryptophan (G),Tyrosine (G),Valine (G),"Vitamin A, RAE (UG)",Vitamin B-12 (UG),Vitamin B-6 (MG),"Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Water (G),"Zinc, Zn (MG)",allergens,category,diets,min_age_months,name,weight (G),Vitamin K (UG),Vitamin E (MG),TFA 18:2 t (G),alkalinity Ph (0-14)
,,,5.67,,,,,296.0,,56.63,,25730.0,,,0.38,,,318.0,,,,,,,28.4,,106.0,,,,,,,,,,,7.8,,,,,,,,,,,,,,,146.0,,1.8,,8.665,,,,,,,,,,,,,,,293.0,,2014.0,,12.01,,0.686,,,,,,,,,,,,,,,1.7,,30.0,,,,,,,,0.328,,10.34,17.27,,,,2154.0,,3.268,76.4,,8.05,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Aleppo Pepper,100.0,80.3,29.83,0.002,5.5
,,,1.48,,,,,177.0,,2.65,,3142.0,,,0.32,,,23.0,,,,,,,1.6,,68.0,,,,0.1,,0.1,,,,,3.17,,,,,,,,,,,,,,,64.0,,1.15,,0.902,,,,,,,,,,,,,,,56.0,,295.0,,3.15,,0.076,,,,,,,,,,,,,,,0.3,,4.0,,,0.1,,,,,0.034,,0.3,0.64,,,,264.0,,0.155,18.0,,92.06,0.81,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Basil (especially purple),100.0,414.8,0.8,,6.5
,,,,,,68.6,,177.0,,58.35,,14.0,,68.6,1.11,,,323.0,0.99,3.23,1.46,,,,24.6,,57.0,57.0,57.0,,,,,,,,,33.52,,,,,,,,,,,0.99,,,,191.0,,1.229,,1.64,2.89,0.34,,,,,,,,,,,1.34,,296.0,,770.0,,23.0,,0.366,,,,0.02,0.01,1.16,0.01,0.24,0.02,,,,,,6.3,,67.0,,,,,,,,0.322,,6.4,6.41,,,,1.0,,0.6,3.0,,8.84,2.77,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Blue Fenugreek,100.0,4.8,0.86,0.002,6.5
0.612,,0.603,5.52,1.096,87.0,,,318.0,40.0,56.63,,24967.0,,38.6,0.373,,0.165,318.0,2.651,8.92,3.26,,,,34.8,,108.0,108.0,108.0,,,,,1.815,0.528,0.288,,7.8,0.526,,0.77,1475.0,,0.573,0.016,,0.057,0.016,2.553,0.009,,,152.0,,2.492,0.187,8.657,8.851,0.069,,,,,,,,,,,0.963,0.499,293.0,142.0,2010.0,0.407,12.01,,0.9,0.021,0.02,,0.055,0.013,1.956,0.02,0.959,0.155,0.05,,,,,4.8,0.548,30.0,,14.0,,,,,,0.328,0.436,10.34,17.27,0.137,0.439,0.654,2081.0,,2.45,76.4,,8.58,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cayenne,100.0,80.3,29.83,0.002,5.5
0.932,,1.97,3.4,2.302,,,,177.0,,58.35,,,,69.0,1.11,,0.264,323.0,1.554,3.204,1.056,,,,24.6,,57.0,57.0,57.0,,,,,4.569,1.026,0.647,,33.53,0.992,,1.547,,,1.34,,,0.007,,1.536,,,,191.0,,1.229,0.256,1.64,2.569,0.621,,,,0.007,,,,,,,1.066,0.978,296.0,,770.0,0.85,23.0,,0.366,,,,0.007,,0.771,,0.278,,,,,,,6.3,1.14,67.0,10.0,,0.01,,,,,0.322,0.817,6.04,6.41,0.26,0.697,1.139,,,0.6,3.0,,8.84,2.77,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chemen (spice mix),100.0,,0.06,,6.5
0.138,,0.16,0.97,0.297,,,,97.0,,4.35,,2616.0,,11.5,0.147,,0.038,30.0,0.046,0.366,0.207,,,,2.5,,105.0,105.0,105.0,,,,,0.352,0.155,0.058,,1.6,0.126,,0.198,3140.0,,0.15,,,0.007,,0.039,,,,42.0,,0.384,0.041,0.647,0.119,0.247,,,,,,,,,,,0.1,0.118,58.0,,296.0,0.088,3.27,,0.16,,,,0.003,,0.176,,0.027,,,,,,,0.3,0.116,3.0,,,,,,,,0.05,0.098,1.86,0.73,0.03,0.094,0.14,218.0,,0.138,58.1,,90.79,0.56,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chives,100.0,212.7,0.18,,6.0
0.106,,0.119,1.47,0.189,,,,67.0,,3.67,,3937.0,,12.8,0.225,,0.021,23.0,0.031,0.23,0.015,,,,2.8,,62.0,62.0,62.0,,,,,0.198,0.089,0.043,,1.77,0.081,,0.13,800.0,,0.104,,,0.001,,0.03,,,,26.0,,0.426,0.03,1.114,0.026,0.204,,,,,,,,,,,0.252,0.081,48.0,,521.0,0.086,2.13,,0.162,,,,,,0.014,,0.001,,,,,,,0.9,0.093,46.0,,,,,,,,0.067,0.076,0.87,0.52,0.018,0.062,0.103,337.0,,0.149,27.0,,92.21,0.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cilantro / Coriander (fresh and seed),100.0,310.0,2.5,,6.5
0.063,,0.082,0.77,0.155,,0.5,,59.0,,14.15,5.0,1000.0,,8.8,0.12,10.0,0.015,61.0,0.01,0.15,0.04,,,,1.8,,57.0,57.0,57.0,,,,,0.187,0.063,0.038,,2.1,0.06,,0.098,1900.0,,0.082,,,0.003,,0.007,,,,28.0,,0.481,0.019,0.4,0.094,0.052,,,,,,,,,,,0.06,0.06,35.0,,180.0,0.05,1.5,,0.03,,,,0.001,,0.034,,0.005,,,,,,,1.0,0.068,20.0,7.33,,,,,,,0.06,0.054,3.9,0.3,0.015,0.035,0.076,83.0,,0.23,12.0,,83.25,0.12,,Vegetables and Vegetable Products,"Vegan,Vegetarian",6,Leek,100.0,47.0,0.58,,6.0
,,,,,,,,220.0,,65.0,,,,,,,,450.0,,,,,,,25.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,300.0,,800.0,,18.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,10.0,20.0,,,,,,,,,5.0,,,Spices and Herbs,"Vegan,Vegetarian",6,Mahleb,100.0,56.3,10.22,0.002,6.5
,,,9.4,,,,,2132.0,,68.7,,3086.0,,,0.67,,,272.0,0.5,1.9,1.5,,,,37.0,,146.0,146.0,146.0,,,,,,,,,37.88,,,,,,,,,,,0.49,,,,377.0,,3.9,,4.1,1.37,0.53,,,,,,,,,,,0.8,,140.0,,1051.0,,6.7,,0.3,,,,,,1.14,,0.35,,,,,,,4.6,,26.0,,,,,,,,0.37,,,5.9,,,,257.0,,1.8,50.0,,9.3,4.7,,Spices and Herbs,"Vegan,Vegetarian",6,Savory (Summer),100.0,310.0,3.89,,5.8
,,,2.0,,,,,66.0,,3.2,,4000.0,,,0.1,,,22.0,0.03,0.35,0.08,,,,2.9,,13.0,13.0,13.0,,,,,,,,,3.2,,,,,,,,,,,0.03,,,,103.0,,0.2,,0.4,0.13,0.22,,,,,,,,,,,0.06,,60.0,,393.0,,2.0,,0.16,,,,,,0.08,,,,,,,,,0.9,,4.0,,,0.5,,,,,0.06,,0.5,0.7,,,,334.0,,0.1,48.0,,92.0,0.2,,Spices and Herbs,"Vegan,Vegetarian",6,Sorrel (Aveluk),100.0,500.0,3.89,,3.0
,,,5.7,,,,,148.0,,56.6,,10500.0,,,0.37,,,318.0,2.4,9.3,3.3,,,,27.2,,106.0,106.0,106.0,,,,,,,,,7.8,,,,,300.0,,,,0.19,,2.21,,,,152.0,,1.9,,9.0,8.85,0.45,,,,,,,,,,,2.5,,293.0,,2014.0,,12.0,,0.9,,,,0.1,,2.6,,0.6,,,,,,,28.0,,30.0,,,10.4,,,,,0.33,,10.4,17.0,,,,950.0,,3.4,76.0,,8.6,2.5,,Spices and Herbs,"Vegan,Vegetarian",6,Urfa Pepper,100.0,14.0,3.2,0.002,5.2
,,,,,,,,400.0,,20.0,,,,,,,,500.0,15.0,18.0,5.0,,,,18.0,,,,100.0,,,,,,,,,10.0,,,,,,,,,,,,,,,150.0,,,,3.0,,,,,,,,,,,,,,,,,700.0,,18.0,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,2.0,40.0,,,,,,0.3,,,5.0,3.0,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Za'atar,100.0,50.0,2.0,,4.5
0.126,,0.19,1.5,0.264,22.0,0.6,,177.0,1.0,2.65,3.0,3142.0,,,0.3,,0.02,23.0,0.013,0.371,0.098,,,,1.6,3.1,68.0,68.0,68.0,,0.04,,0.04,0.35,0.111,0.063,,3.17,0.116,,0.177,5650.0,,0.163,,,,,0.013,,,,64.0,,1.147,0.041,0.902,0.098,0.273,,,,,,,,,,,0.209,0.126,56.0,26.0,295.0,0.093,3.15,,0.076,,,,,,0.088,0.003,0.009,,,,,,,0.3,0.095,4.0,0.1,3.0,0.02,,,,,0.034,0.106,0.3,0.64,0.03,0.076,0.14,264.0,,0.155,18.0,,92.06,0.81,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Basil (purple and green),100.0,414.8,0.8,,5.8
0.732,,1.077,3.4,2.404,,,,177.0,,58.35,,36.0,,,1.11,,0.286,323.0,0.076,0.808,0.516,0.001,0.001,,24.6,,57.0,57.0,57.0,,,,,3.993,0.692,0.601,,33.5,0.793,,1.139,,,1.066,,,,,0.076,,,,191.0,,1.228,0.237,1.64,0.28,0.528,,,,,,,,,,,0.321,0.771,296.0,,770.0,0.817,23.0,,0.366,,,,,,0.354,0.007,0.155,,,,,,,6.3,1.06,67.0,5.89,,,,0.001,,,0.322,0.763,6.41,6.41,0.172,0.536,0.908,3.0,,0.6,3.0,,8.84,2.7,,Not included in a food category,"Gluten-Free,Vegan,Vegetarian",6,Chemen (Fenugreek paste),100.0,38.0,0.6,,6.5
0.088,,0.117,1.47,0.252,,,,67.0,,3.67,,3937.0,,,0.225,,0.02,23.0,0.019,0.274,0.062,,,,2.8,2.4,62.0,62.0,62.0,,0.09,,0.09,0.286,0.083,0.043,,1.77,0.084,,0.134,875.0,,0.131,,,,,0.019,,,,26.0,,0.426,0.035,1.114,0.116,0.158,,,,,,,,,,,0.57,0.093,48.0,,521.0,0.076,2.13,,0.162,,,,,,0.046,0.001,0.015,,,,,,,0.9,0.088,46.0,0.06,,0.07,,,,,0.067,0.083,0.87,0.52,0.025,0.05,0.106,337.0,,0.149,27.0,,92.21,0.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cilantro / Coriander (fresh),100.0,310.0,2.5,,6.5
0.732,,1.077,3.4,2.404,,,,177.0,,58.35,,36.0,,,1.11,,0.286,323.0,0.076,0.808,0.516,0.001,0.001,,24.6,,57.0,57.0,57.0,,,,,3.993,0.692,0.601,,33.5,0.793,,1.139,,,1.066,,,,,0.076,,,,191.0,,1.228,0.237,1.64,0.28,0.528,,,,,,,,,,,0.321,0.771,296.0,,770.0,0.817,23.0,,0.366,,,,,,0.354,0.007,0.155,,,,,,,6.3,1.06,67.0,5.89,,,,0.001,,,0.322,0.763,6.41,6.41,0.172,0.536,0.908,3.0,,0.6,3.0,,8.84,2.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Fenugreek (seed),100.0,38.0,0.6,,6.5
0.088,,0.045,0.53,0.207,11.0,,,10.0,3.0,18.7,,10.0,,7.6,0.158,,0.007,83.0,0.063,0.079,0.12,,,,4.0,,38.0,38.0,38.0,,6.84,,6.83,0.258,0.098,0.035,,0.3,0.047,,0.095,17.0,,0.091,,,0.005,,0.053,,,,12.0,,0.119,0.016,0.293,0.063,0.016,,,,,,,,,,,0.377,0.063,36.0,15.0,236.0,0.076,1.67,,0.053,,,,0.005,,0.098,,0.012,,,,,,,0.5,0.088,3.0,,1.0,,,,,,0.063,0.046,13.67,1.17,0.015,0.033,0.076,,,0.075,10.2,,77.93,0.35,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Pomegranate (fresh and molasses),100.0,16.4,0.6,,2.6
0.043,,0.038,0.42,0.1,6.0,,,11.0,2.0,6.86,,1624.0,,5.6,0.124,,0.011,31.0,0.031,0.143,0.032,,,,1.7,,46.0,46.0,46.0,,2.23,,1.97,0.174,0.033,0.019,,0.44,0.033,,0.053,344.0,,0.047,,,,,0.031,,,,14.0,,0.134,0.011,0.805,0.143,,,,,,,,,,,,0.191,0.036,26.0,9.0,278.0,0.032,0.99,,0.09,,,,,,0.026,,0.006,,,,,,,0.1,0.043,3.0,,1.0,,,,,,0.08,0.034,4.2,0.3,0.012,0.027,0.042,153.0,,0.28,144.0,,92.29,0.27,,Vegetables and Vegetable Products,"Gluten-Free,Vegan,Vegetarian",6,Red Pepper / Chili,100.0,14.8,3.1,,5.0
0.261,,0.3,5.65,0.456,7.0,,,189.0,2.0,24.45,,2855.0,,47.4,0.555,,0.054,101.0,0.176,0.906,0.471,,,,14.0,,274.0,274.0,274.0,,0.85,,0.85,0.748,0.264,0.126,,17.45,0.218,,0.334,188.0,,0.279,,,,,0.176,,,,160.0,,1.717,0.071,1.824,0.906,,,,,,,,,,,,0.409,0.207,106.0,10.0,610.0,0.216,5.5,,0.34,,,,,,0.295,,0.155,,,,,,,4.6,0.219,9.0,,1.0,,,,,,0.047,0.203,1.7,1.7,0.038,0.126,0.279,238.0,,0.348,160.0,,70.65,3.1,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Thyme (especially wild),100.0,1714.5,7.5,,6.0
0.89,,0.999,3.39,2.288,161.0,,,176.0,8.0,58.35,,8.0,,69.1,1.11,,0.252,323.0,1.14,2.92,1.258,,,,24.6,,57.0,57.0,57.0,,,,,4.264,0.778,0.407,,33.53,0.923,,1.52,48.0,,1.233,,,,,1.14,,,,191.0,,1.22,0.245,1.64,2.92,,,,,,,,,,,,0.366,0.803,296.0,173.0,770.0,0.655,23.0,,0.366,,,,,,1.258,,,,,,,,,6.3,1.062,67.0,,4.0,,,,,,0.322,0.686,6.43,6.41,0.207,0.354,0.89,,,0.6,3.0,,8.84,2.45,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chemen (Fenugreek paste/mix),100.0,48.2,0.6,0.002,6.5
,,,,,,,,20.0,,71.5,,,,5.0,0.1,,,315.0,,,,,,,0.2,,5.0,5.0,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,15.0,,,,0.2,,,,,,,,,,,,,,,30.0,,200.0,,1.2,,0.05,,,,,,,,,,,,,,,1.0,,20.0,,,,,,,,0.05,,60.0,0.3,,,,,,0.1,2.0,,26.5,0.2,,Sauces,"Gluten-Free,Vegan,Vegetarian",6,Pomegranate (fresh seeds and molasses),100.0,28.9,1.09,,3.5
,,,,,,,,316.0,,56.63,,3418.0,,,0.385,114.0,,318.0,2.052,9.395,3.257,,,,27.2,,106.0,106.0,,,,,,,,,,14.94,,,,2690.0,,,,,,,,,,,152.0,,1.545,,8.704,,,,,,,,,,,,,,,293.0,,2014.0,,12.03,,0.919,,,,,,,,,,,,,,,6.8,,30.0,,,,,,,,0.328,,10.34,17.29,,,,293.0,,2.45,76.4,,8.05,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Red Pepper Flakes,100.0,80.3,29.83,0.002,5.0
,,,7.0,,,,,300.0,,65.0,,,,,,,,377.0,,,,,,,15.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Annatto (Achiote/Ruku),100.0,,,0.002,6.8
,,,,,,,,1778.0,,60.94,,5057.0,,,2.008,,,251.0,0.245,2.45,0.231,,,,37.7,,310.0,310.0,,,,,,,,,,89.8,,,,13418.0,,,,,,,0.235,,,,711.0,,9.356,,4.909,0.236,2.164,,,,,,,,,,,0.63,,274.0,,2630.0,,14.37,,1.815,,,,,,0.165,,0.052,,,,,,,3.1,,32.0,,,,,,,,0.093,,6.0,3.98,,,,421.0,,1.34,61.2,,9.25,7.1,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Basil (Yerbe di Hole),100.0,1714.5,10.7,,6.5
,,,,,,,,12.0,,4.26,,1198.0,,,0.057,,,26.0,0.076,0.184,0.063,,,,1.1,,16.0,16.0,,,,,,,,,,0.58,,,,,,,,,,,,,,,12.0,,0.117,,0.963,,,,,,,,,,,,,,,26.0,,208.0,,0.94,,0.057,,,,,,,,,,,,,,,0.7,,1800.0,,,,,,,,0.033,,1.7,0.44,,,,100.0,,0.222,12.1,,89.2,0.15,,Sauces,"Gluten-Free,Vegan,Vegetarian",6,Hot Sauce (Pica),100.0,7.8,0.69,,3.8
,,,,,,,,26.0,,14.1,,,,,0.05,,,56.0,0.02,0.09,0.04,,,,1.5,,2.0,2.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,12.0,,0.06,,0.1,,,,,,,,,,,,,,,26.0,,150.0,,0.7,,0.02,,,,,,,,,,,,,,,0.2,,940.0,,,,,,,,0.02,,10.7,0.2,,,,,,0.01,1.4,,83.9,0.1,,Sauces,"Gluten-Free,Vegan,Vegetarian",6,Pickles / Piccalilli,100.0,14.4,0.1,,3.5
,,,,,,,,350.0,,65.0,,59.0,,,0.8,,,370.0,,,,,,,24.0,,,,90.0,,,,,,,,,13.0,,,,,,,,,,,,,,,280.0,,0.5,,3.0,,,,,,,,,,,,,,,250.0,,800.0,,12.0,,0.3,,,,,,,,,,,,,,,4.0,,20.0,,,,,,,,0.1,,,13.0,,,,5.0,,0.1,,,5.0,2.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Annatto (Ruku),100.0,56.3,10.22,0.002,6.5
,,,,,,,,700.0,,2.22,,,80.0,,0.033,,,356.0,7.7,0.8,17.5,1.1,0.72,0.38,,,25.0,25.0,,,,,,,,,,0.3,,2.22,,,,,,,,,,,,,29.0,,0.009,,0.063,,,,,,,,,,,,,0.35,,489.0,,89.0,,24.94,299.0,0.322,,,,,,,,,,,,,,,14.5,,649.0,,,,,,,,0.04,,2.22,27.4,,,,299.0,1.05,0.076,,,38.03,2.97,Milk,Cheese,Vegetarian,6,Cheese (Gouda / Edam),100.0,2.3,0.22,,5.5
,,,,,,,,126.0,,54.8,,,,,,,,276.0,,,,,,,22.4,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,164.0,,,,,,,,,,,,,,,,,,,,,2120.0,,10.9,,,,,,,,,,,,,,,,,,,420.0,,,,,,,,,,,1.5,,,,,,,54.0,,,1.3,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Akudjura (Bush Tomato),100.0,56.3,10.22,0.002,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Aniseed Myrtle,100.0,28.9,1.09,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Bloodroot,100.0,28.9,1.09,,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cinnamon Myrtle,100.0,28.9,1.09,,6.0
,,,,,,,,35.0,,14.0,,,,,,,,55.0,,,,,,,5.5,,25.0,,25.0,,,,,,,,,0.8,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,350.0,,0.8,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,9.0,0.2,,,,,,,120.0,,85.0,,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Davidson's Plum,100.0,14.1,0.93,,3.0
,,,,,,,,40.0,,9.0,,,,,,,,42.0,,,,,,,4.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,200.0,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,120.0,,88.0,,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Desert Lime,100.0,14.1,0.93,,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not included in a food category,"Gluten-Free,Vegan,Vegetarian",6,Eucalyptus,100.0,28.9,1.09,,6.0
,,,,,,,,20.0,,7.0,,,,,,,,30.0,,,,,,,2.5,,40.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.1,,,,,,,40.0,,91.0,,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Finger Lime,100.0,14.1,0.7,,2.5
,,,,,,,,20.0,,17.0,,,,,,,,62.0,,,,,,,9.0,,,,130.0,,,,,,,,,0.2,,,,,,,,,,,,,,,20.0,,,,0.8,,,,,,,,,,,,,,,,,300.0,,0.8,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.2,,,,,,,3000.0,,80.0,0.1,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Kakadu Plum,100.0,14.1,0.2,,3.2
,,,,,,,,10.0,,11.0,,,,,,,,50.0,,,,,,,6.0,,,,14.0,,,,,,,,,0.1,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,200.0,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,40.0,,85.0,0.05,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Lemon Aspen,100.0,14.1,0.93,,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Lemon Ironbark,100.0,770.6,3.89,,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Lemon Myrtle,100.0,770.6,3.89,,3.0
,,,,,,,,30.0,,60.0,,,,,,,,300.0,,,,,,,8.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,20.0,,10.0,0.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Mountain Pepper (Pepperberry & Pepperleaf),100.0,56.3,1.5,0.002,5.0
1.13,,1.27,21.8,2.21,85.0,,,2240.0,19.0,42.0,,4725.0,,15.3,0.619,,0.28,251.0,0.35,0.58,2.37,,,,37.7,,274.0,,274.0,,,,,2.5,1.02,0.6,,89.8,1.04,,1.89,11300.0,,1.63,,,,,,,,,711.0,,7.82,0.35,6.8,,,,,,,,,,,,,0.86,1.25,520.0,110.0,2630.0,0.89,23.0,,1.89,,,,,,,,,,,,,,,3.1,1.07,34.0,,6.0,,,,,,0.1,1.05,1.7,4.0,0.231,0.94,1.34,393.0,,0.13,61.2,,9.2,7.1,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Native Basil,100.0,1710.0,10.7,0.002,6.5
,,,,,,,,16.0,,17.77,,,,34.3,0.229,,,80.0,,,,,,,2.0,,11.0,,,,,,,,,,,0.6,,,,,,,,,,,,,,,43.0,,0.229,,0.75,,,,,,,,,,,,,,,34.0,,415.0,,1.82,,0.034,,,,,,,,,,,,,,,0.7,,13.0,,,,,,,,0.046,,1.7,0.75,,,,,,0.16,5.0,,78.89,0.34,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Native Ginger,100.0,0.1,0.26,0.002,5.8
,,,,,,,,65.0,,25.4,,179.0,,4.6,0.266,,,99.0,,,,,,,0.5,,75.0,,,,,,,,,,,5.2,,,,,,,,,,,,,,,60.0,,0.16,,1.114,,,,,,,,,,,,,,,101.0,,494.0,,1.82,,0.135,,,,,,,,,,,,,,,0.7,,6.0,,,,,,,,0.065,,,0.49,,,,15.0,,0.075,2.6,,60.1,2.2,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Native Lemongrass,100.0,770.6,3.89,,6.5
